task,coder3,coder2,coder1
"koll real estate group to modify condition to delete sentence requiring amendment or new coastal permit if aggregate material  is to be stockpiled beyond 2 years from date of local grading permit, and revise final grading plans to limit deposition of excavated material to smaller area, at 4998 los patos avenue, , orange county.   ",5,5,5
"patricia manzo to install new private boat dock system in newport bay where none currently exists, seaward of a residence, consisting of: \u\"" shaped floating dock with 2 - 4' x 46' fingers and 6' x 16' headwalk supported by 3-12\"" steel pipe piles; 4' x 187 pier approach supported by 18-10\"" steel pipe piles; 3' x 24 gangway; and 10' x 14' pier platform support by 4 -10\"" steel pipe piles and dock system composed of douglas fir, at 2223 bayside dr, newport beach , orange county.  """,3,3,3
"lauri virkkunen to demolish 900 sq.ft. home & detached 200 sq.ft. garage, at e/s camino real , carmel, monterey county.  ",1,1,1
"diademare, l.l.c. for 3-story 4535 sq.ft. two-unit condominium with two 352 sq.ft. garages, on coastal canyon lot, at 315 cazador lane, san clemente, orange county.  ",2,2,2
"city of san clemente beaches, park & recreation department for 30 wide x 12 deep x 5 4",11,11,11
"sean macleod to demolish 1,338 sq.ft. 1-story single-family home & garage and construct 3,113 sq.ft. 2-story single-family home & garage on 14,000 sq.ft. lot, at 520 canyon drive, solana beach, san diego county.   ",1,1,1
"mark & susan wallace for 2-story 1,567 sq.ft. single-family home, 920 sq.ft. attached garage, driveway, septic system, fence, landscaping, and 47 cu.yds. of cut, at 25643 monte nido drive, santa monica mountains, los angeles county.  ",1,1,1
"john french to remove and replace t-shaped floating boat dock and gangway with new same-sized t-shaped dock and gangway in same location with no new piles, at 5909 corso di napoli, long beach, los angeles county.  ",3,3,3
"NAe-06-011  pg&e co. granted permit with conditions to replace steam generators with new generators, at diablo canyon nuclear power plant, located about six miles north of avila beach, san luis obispo county.  ",12,12,12
"california dept of parks & recreation to remove 1,000 linear-ft. berm approximately 1.8 acres in area and implement revegetation program along west bank of lower topanga creek in order to restore natural floodplain and channel of topanga creek at topanga state park, los angeles county.  ",9,9,7
"hugh & irene holt to remove 200 sand bags stacked against eroding river bank, and restore site by depositing the sand on the beach below and planting willow sprigs  to stabilize bare banks along mad river, at 1826 ocean avenue, mckinleyville, humboldt county.  ",7,9,7
"the jersey hills, llc and patrick killen to demolish commercial building and construct 3-story, 30-ft-high, 3,680 sq.ft., mixed use building with 874 sq.ft., commercial unit on first floor, 2,806 sq.ft., residential unit on second and third floors and 6 parking spaces, at 20 second st, hermosa beach, los angeles county.  ",2,2,2
"pacific bell wireless for wireless communication facility including 55-ft-high galvanized steel pole and 153 sq.ft. fenced unmanned equipment building, at 1505 lomas santa fe drive, solana beach, san diego county.  ",11,11,11
"city of san diego metropolitan wastewater department to upgrade eight sewer pump stations, construct emergency underground storage tanks, secondary force mains and drainage improvements, at various locations in mission bay park and san dieguito river valley, san diego, san diego county.  ",8,8,8
"vernon & denise bryant to add 888½ sq.ft. and 294 sq.ft. of decks to existing 2,136 sq.ft. 2-story single-family home with attached 460 sq.ft. garage, next to montalvo canyon, at 266 avenida montalvo, san clemente, orange county.   ",4,4,4
"mr. & mrs. oliver e. clark to remove sunroom on cantilevered deck and construct 38-in. high glass rail with etched designs in area of removed sunroom along perimeter of cantilevered deck, at 16601 carousel ln., huntington beach, orange county.  ",4,4,4
"don henderson to add 39 linear ft. concrete deck cantilevered over bulkhead with 3.5-ft high tempered glass windscreen, at 3831 seascape drive, huntington beach, orange county.  ",4,4,6
"thomas & jill green to demolish 320 sq.ft. home and remove three 5\ diameter apple trees, to facilitate new 2-story 1,786 sq.ft. single-family home with attached garage, on guadalupe street , carmel, monterey county.   """,1,1,1
"chevron u.s.a. products co. to demolish gas station, construct gas station with 1-story 1,226 sq.ft. convenience store, 4 pump islands, replace 3 underground storage tanks with 2 tanks, and construct curb ramp, sidewalk, landscaping and 7 parking spaces, at 1630 south elena ave, redondo beach, los angeles county.  ",2,2,2
"sam and veronika larsson to add 347 sq.ft. to existing 1,024 sq.ft. single-family home and 529 sq.ft. to existing 520 sq.ft. accessory structure both constructed prior to the effective date of coastal act with 23 cu.yds. of associated grading . in addition, the project includes interior remodel of home and accessory structure, replacement of septic tank with new 1,250-gallon tank, combination of 9 lots into one with after-the-fact approval of land division of 2 lots into 3 separate lots, and removal of oak tree located at 19936 grandview dr., topanga, los angeles county.  ",1,1,1
"project new hope for 25-unit 30-ft-high affordable housing project with 25 parking spaces, at 1637 appian way, santa monica, los angeles county.   ",2,2,2
"pedro aranda, betty henry, jim & carolyn kloss, john j. charleston, bill & sandy booth and robert & sharon donald for 157 cu.yds. of toe stone extending 7 to 9½ feet seaward at a 2 to 1 slope from existing 326-ft-long bulkhead, at 16672, 16662,16652, 16642, 16632 wanderer lane & 3788 humboldt drive, huntington beach, orange county.  ",6,6,6
"david mccadden enterprises - topsider to remodel interior to widen opening between 2 walled retail spaces at the topsider, 217 sterns wharf, santa barbara, santa barbara county.  ",2,2,2
"meir toren for 4-level 5,202 sq.ft. single-family home & attached 3-car garage, on lagoon-fronting lot, at 4207 roma court, venice, los angeles, los angeles county.  ",1,1,1
"pardee homes to subdivide 37.5 acres into 20 residential parcels and 4 open space parcels, construct seven homes, access road, public trail system, manufactured slopes, retaining walls and drainage facilities, with 30.22 acres of site remaining in permanent open space, south of sunny mesa road and lopez ridge way, north city, san diego, san diego county.  ",10,1,10
"california department of transportation, district 4 for after-the-fact authorization for construction of rock slope protection to protect highway 1 from coastal erosion at three locations, at highway 1 at pm 13.4 and 13.6, in the vicinity of pescadero state beach san mateo county, near town of pescadero, san mateo county.  ",5,5,5
"the lee group, inc. for 30-ft-high 4,045 sq.ft. single-family home & attached 3-car garage, on canal-front lot, at 3601 esplanade, venice, los angeles, los angeles county.   ",1,1,1
"john olney & david fritz to regrade and widen access road to existing single-family home with 275 cu.yds. of grading, and construct retaining walls, at 24860 piuma road, calabasas, los angeles county.  ",5,1,1
"linnea mielcarek & john howley for 1-story 2,080 sq.ft. single-family home, partial basement, detached 450 sq.ft. garage, driveway, retaining wall, septic system, propane tank, 204 cu.yds. of grading and 55 cu.yds. of grading for driveway, at 2353 tuna canyon road, topanga, los angeles county.  ",1,1,1
"NA6-05-140  city of san diego granted permit with conditions to install buoy markers in ocean adjacent to beach from march 1st through october 31st each year, seaward of 2000 spindrift drive between western extensions of paseo dorado & avenida de la playa, la jolla, san diego, san diego county.  ",3,11,3
"michael deutsch to construct 2-story, 3-level, 11,037 sq. ft. home on 2.88 acre sloping site, at 3997 stonebridge court, rancho santa fe vicinity, san diego county.  ",1,1,1
"NA5-98-469  richard e. & melody e. ferber granted permit with conditions for backyard slope repair and bluff stability improvements, at 1454 galaxy drive, newport beach, orange county.  ",4,6,6
"joe cosentino to add 592 sq.ft. to first floor and 976 sq.ft. to second floor of 2,200 sq.ft. single-family home, and construct two carports, with no grading, at 2700 hume road, malibu, los angeles county.   ",1,1,1
"blue lagoon community association to return existing rock revetment to original design configuration through addition of 860 tons of imported or retrieved rock, at 30781 pacific coast hwy, laguna beach, orange county.  ",6,6,6
"risa, inc. money purchase pension plan & trust ii for 36-ft-high 5,514 sq.ft. single-family home with tuck under garage, at 1259 palisades beach road, santa monica, los angeles county.  ",1,1,1
"john r. lee to construct 3,400 sq.ft., 2 bedroom, 3 bathroom single-family home with attached garage and carport, detached 1,000 sq.ft., 2 bedroom, 1 bathroom second unit, septic system, two 5,000 gal. water tanks, and gravel driveway, on stagecoach rd., north of rainbow lane, one mile north of trinidad, humboldt county.   ",1,1,1
"mr. and mrs. anthony anvari for the demolition of an existing single-story pool house and pool and construction of a new two-story, 5, 953 sq. ft., 25 tall, single-family residence including attached 3-car garages, hardscape improvements including new bluff-side paved patio, fountain/water feature, outdoor barbeque, new perimeter walls, landscaping and shear pin foundation system beneath the proposed residence on a 12,160 sq. ft. bluff lot, at 35555 camino capistrano, san clemente, orange county.  ",1,1,1
